,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,LINK-USD,0.35665660462179605,23.0
1,XTZ-USD,COMP-USD,0.025712219476021442,10.0
2,XTZ-USD,SUSHI-USD,0.986684848286534,13.0
3,XTZ-USD,UNI-USD,0.18441402981714428,8.0
4,XTZ-USD,MATIC-USD,0.9943409391955161,9.0
5,ETC-USD,YFI-USD,0.0024078274673966,8.0
6,ETC-USD,XMR-USD,0.13308483005043298,18.0
7,ETC-USD,UMA-USD,10.19900817711117,17.0
8,ZEC-USD,FIL-USD,6.692076702015061,10.0
9,MKR-USD,NEAR-USD,344.4938349514021,15.0
10,ATOM-USD,ETH-USD,0.005963465067938019,9.0
11,BCH-USD,COMP-USD,2.942138600456625,6.0
12,BCH-USD,DOT-USD,19.898885698287796,13.0
13,BCH-USD,1INCH-USD,237.4686196604173,10.0
14,CELO-USD,COMP-USD,0.015701488219251485,9.0
15,CELO-USD,ALGO-USD,3.1216252122882437,10.0
16,CELO-USD,UMA-USD,0.32875072354510004,10.0
17,CELO-USD,MATIC-USD,0.6071989028153325,9.0
18,CELO-USD,1INCH-USD,1.267444629037601,7.0
19,RUNE-USD,FIL-USD,0.2709922253058915,12.0
20,RUNE-USD,YFI-USD,0.0001814595330610197,18.0
21,RUNE-USD,XMR-USD,0.010029924629336075,21.0
22,RUNE-USD,UMA-USD,0.7687475072769373,15.0
23,RUNE-USD,BTC-USD,5.499082797979295e-05,24.0
24,RUNE-USD,LTC-USD,0.017032530600332003,21.0
25,RUNE-USD,1INCH-USD,2.9639172807181255,11.0
26,FIL-USD,XMR-USD,0.03699897286260736,23.0
27,FIL-USD,UMA-USD,2.835617525215901,21.0
28,FIL-USD,BTC-USD,0.0002028802951217844,12.0
29,ZRX-USD,XLM-USD,2.7984154734272524,24.0
30,ZRX-USD,DOGE-USD,3.3638451446505178,6.0
31,TRX-USD,YFI-USD,7.464960407743931e-06,18.0
32,TRX-USD,XMR-USD,0.00041290080837218913,7.0
33,YFI-USD,XMR-USD,55.26834032325389,16.0
34,YFI-USD,BTC-USD,0.3030020080724507,9.0
35,COMP-USD,SUSHI-USD,38.373232380853395,6.0
36,COMP-USD,DOT-USD,6.76292310683353,9.0
37,COMP-USD,LTC-USD,0.4639090950186513,8.0
38,COMP-USD,MATIC-USD,38.667558296945906,6.0
39,COMP-USD,1INCH-USD,80.70958403477529,6.0
40,XMR-USD,SUSHI-USD,140.4018624575716,18.0
41,XMR-USD,UMA-USD,76.63098848446933,5.0
42,XMR-USD,AAVE-USD,2.025701513674949,21.0
43,SUSHI-USD,UMA-USD,0.5454820651276445,13.0
44,SUSHI-USD,DOT-USD,0.17621205770687712,15.0
45,SUSHI-USD,LTC-USD,0.012086756272721166,13.0
46,SUSHI-USD,MATIC-USD,1.0075303060236807,9.0
47,SUSHI-USD,1INCH-USD,2.1030928745899122,5.0
48,UMA-USD,CRV-USD,2.0295206815919857,22.0
49,UMA-USD,AAVE-USD,0.026436393155332496,14.0
50,UMA-USD,MATIC-USD,1.8464409631417882,12.0
51,UMA-USD,1INCH-USD,3.853892626940023,11.0
52,CRV-USD,1INCH-USD,1.8974596580747014,15.0
53,AAVE-USD,1INCH-USD,145.74857822494076,9.0
54,UNI-USD,MATIC-USD,5.391528323889424,6.0
